source,destination,total
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,8eD9FFZFto8gehrZeGj8NTjMvpjxrwjPnbeK7FGgmLkw,657488.574164878
8eD9FFZFto8gehrZeGj8NTjMvpjxrwjPnbeK7FGgmLkw,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,657488.574145878
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2mwntEu7W2CcUsPgBj6ggWrY8EMjMXrRgcE8L5JDCetG,656706.753482042
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3PcaedzLGY65u9RkfUFcdo2HkRCoEiocZZhbHaGgHQRr,656706.753482042
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,7FL8hRwF6n272NEnRp71JhhTH8YSKaPAdgCX3KuCgwcD,656706.753482042
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,HuvSTZxBcebUAaJfNLZkFDB89AYxc6vSkQCpdEFqpHST,656706.753482042
2mwntEu7W2CcUsPgBj6ggWrY8EMjMXrRgcE8L5JDCetG,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,656706.753463042
3PcaedzLGY65u9RkfUFcdo2HkRCoEiocZZhbHaGgHQRr,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,656706.753463042
7FL8hRwF6n272NEnRp71JhhTH8YSKaPAdgCX3KuCgwcD,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,656706.753463042
HuvSTZxBcebUAaJfNLZkFDB89AYxc6vSkQCpdEFqpHST,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,656706.753463042
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,DKxSAUEtKgKj1auukoojn7VEQPGsSVihPyiYjLcHGGVN,652248.6724392761
DKxSAUEtKgKj1auukoojn7VEQPGsSVihPyiYjLcHGGVN,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,652248.672434276
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2zXPY86vAG9jtDHmQXUt7765PjcoEDbkMpcKr2rqJ4Gy,650052.955856574
2zXPY86vAG9jtDHmQXUt7765PjcoEDbkMpcKr2rqJ4Gy,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,650052.955851574
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,CwtoL75YJj5qX6Ns6JKmAAZJdxfHhxyZaXXPrLz7aFZv,649554.857349896
CwtoL75YJj5qX6Ns6JKmAAZJdxfHhxyZaXXPrLz7aFZv,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,649554.857330896
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,DYXpvrykftnsQ3CKxj2rXrxm2UdHobQ2Dern7j6F9jiU,647906.899784846
DYXpvrykftnsQ3CKxj2rXrxm2UdHobQ2Dern7j6F9jiU,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,647906.899779846
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2HV1BWnJ3d3eSVZrkkL9o1fNdMED9smFQhU1phiCEWFX,644657.685770398
2HV1BWnJ3d3eSVZrkkL9o1fNdMED9smFQhU1phiCEWFX,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,644657.685751398
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2ynhPj5z73Z2V8Y3fMFGJysXUf46xGE9zfhvYPi9XXfK,643548.9006165081
2ynhPj5z73Z2V8Y3fMFGJysXUf46xGE9zfhvYPi9XXfK,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,643548.900597508
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,42YzsSvu7YXkCo4vZFf7UAho8wpd9TjR9kys5DSU4KLS,641990.482449874
